id,title,subtitle,author,track,date,description,technologies,keywords,github_url,demo_url,youtube_url,has_demo,has_github,has_video,content_length,url
10,Symptom Chronicler - Personal Health Journal,"Symptom Chronicler is a digital health journal to track and analyze symptoms, helping you share accurate health data with your doctor.",,Overall Track,"Hackathon Writeup · Dec 12, 2025","Symptom Chronicler is a web-based health application designed to simplify the often complex task of managing personal medical history. For individuals dealing with chronic conditions, recovering from illness, or monitoring new health concerns, relying on memory alone can lead to gaps in care. This application solves that problem by providing a centralized, accessible platform for logging vital health data in real-time.

Key Features:
•    Intuitive Logging: Users can quickly record symptom severity, duration, and specific notes, ensuring no detail is lost.
•    Pattern Recognition: The app creates a historical record, allowing users to view trends and changes in their health over days, weeks, or months.
•    Doctor-Ready Data: By organizing scattered health events into a clear chronology, the app helps patients provide accurate histories to their doctors, leading to more informed diagnoses and treatment plans.

Built with a focus on user experience, Symptom Chronicler transforms subjective health feelings into objective, actionable data, giving users greater control over their health journey.",,"health, symptom, data, users, their, chronicler, application, logging, record, over",,https://symptom-chronicler-v-2-0-504547146476.us-west1.run.app/,,True,False,False,1109.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764961000586
11,GAT LITE DEMO BY Google AI STODIO AND GEMINI,A web-based Grand Theft Auto demo has been implemented using Gemini.,,Overall Track,"Hackathon Writeup · Dec 10, 2025","Project Overview This project is a web-based, open-world sandbox designed to emulate the core mechanics of Grand Theft Auto, built entirely using Google AI Studio.

Key Features

Core Gameplay: A seamless third-person controller featuring combat mechanics and a vehicle system with advanced physics (suspension, torque, and drift).

World & Logic: A procedurally generated city using instanced meshes, populated by pathfinding NPCs, a functional safehouse, and a mission system with a reactive HUD. In addition, it includes background music and day night system.

Development Workflow The project leveraged a unique Google AI Studio workflow:

1. Code Generation: The core codebase was authored directly within the Build environment.

2. Assistant Loop: A parallel Playground session served as a ""co-pilot"" for logic verification.

3. Reasoning & Decomposition: Leveraged the model's reasoning capabilities to autonomously decompose complex requirements—specifically 3D vector mathematics—into executable, step-by-step implementations.

4. Multimodal Game Modeling & Debugging: Upload pictures and videos to help with modeling. Context images were uploaded to resolve bugs.

Summary Crucially, I possess zero prior knowledge of game development or React; every line of code in this project was generated by the model and completed in just a few days. This demo stands as a testament to the immense potential of LLMs. By radically lowering the barrier to entry and accelerating development efficiency, Gemini empowers creators to build high-performance 3D simulations regardless of their technical background.

(The link to the auxiliary dialogue is in the Readme.txt file.)","GEMINI, React, Gemini","project, core, system, development, world, mechanics, using, google, studio, logic",,,https://youtu.be/A5nbEn7KRXI,False,False,True,1673.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764961114924
12,PDFBoard - A Node Based PDF Editor for Reusable Advanced PDF Workflows,"PDFBoard is a like n8n but for PDFs, its a node based PDF manipulation tool, which allows advanced combinational workflows with nodes.",,Overall Track,"Hackathon Writeup · Dec 11, 2025","There are a lot of PDF editing and manipulation tools in the market, naming few prominent ones, smallpdf or ilovepdf. They do their work well, but the problem with them is they all only offer one tool at a time, and combined workflow containing multistep manipulation is harder to achieve on their platform.

PDFBoard is trying to solve this exact issue by taking a workflow canvas approach like n8n on similar tools, It consists of nodes, which has connectors and can be dragged into the canvas view. Each node performs their own specific thing, for example there is an input node to read files into your workflow, a node like ""Merge PDFs"" takes multiple PDF inputs and merges them, a preview node lets you preview the data at any step in the workflow and so on.
These fundamental manipulation nodes allow you to create reusable complex workflows, it's like write once and use every time, so you can use PDFBoard to replace any other tools while still having the advanced manipulation features",,"manipulation, workflow, node, tools, their, like, there, them, time, pdfboard",,,,False,False,False,994.0,https://www.kaggle.com/competitions/gemini-3/writeups/pdfboard
13,MentorAI: The Elite Multimodal Study Assistant,Transforms static content into interactive mastery paths using Gemini 3 Pro reasoning & multimodal RAG.,,Overall Track,"Hackathon Writeup · Dec 12, 2025","MentorAI is a production-grade educational platform designed to bridge the gap between passive reading and active mastery. It transforms static study materials—like PDFs, lecture audio, and diagrams—into interactive, gamified learning experiences.

We utilized a hybrid model architecture to balance depth and speed:

We plan to implement the Gemini Live API for real-time, interruptible voice tutoring sessions to simulate a real human teacher.",Gemini,"real, mentorai, production, grade, educational, platform, designed, bridge, between, passive",https://github.com/nameershah/MentorAI,,,False,True,False,445.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764961316069
14,The Medical AI Hub,Revolutionise learning in medical school with an personalized AI App.,,Overall Track,"Hackathon Writeup · Dec 12, 2025","Medicus AI Hub is a comprehensive educational platform designed specifically to assist medical students and professionals in mastering complex clinical concepts. Acting as an intelligent study companion, the application bridges the gap between static lecture materials and active, deep understanding. By leveraging advanced generative artificial intelligence, it transforms raw documents—such as lecture slides, PDFs, and notes—into structured, high-quality learning resources tailored to the user's needs. The platform is built with a modern, user-friendly interface that supports both light and dark modes, ensuring a comfortable reading and studying environment for long sessions.

At the core of the application is the Textbook Generator, a powerful tool that synthesizes uploaded course materials into cohesive, professionally written textbook chapters. Unlike simple summarization tools, this feature acts as a didactic editor, filling in missing context, explaining physiological mechanisms, and even generating visual diagrams to illustrate complex relationships. Users can read these chapters in an interactive viewer where they can instantly highlight text to ask for clarifications, request simplified ""Feynman-style"" explanations, or look up medical terminology without leaving the page. This ensures that learning remains uninterrupted and deeply contextual.

To reinforce knowledge retention, Medicus AI Hub includes a robust Assessment suite. Students can generate custom flashcards and exam simulations based directly on their uploaded lectures. The system supports various question formats, including standard multiple-choice questions similar to medical board exams, as well as connection questions that test deep conceptual understanding. Users can simulate exam conditions, submit their answers, and receive detailed, AI-graded feedback that explains not just the correct answer, but the reasoning behind it, effectively functioning as a personalized tutor.

Beyond theoretical kn",,"medical, medicus, platform, students, application, into, user, users, their, complex",,,,False,False,False,2716.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764961450335
15,Project Minus,Less Noise. More Meaning.,,Overall Track,"Hackathon Writeup · Dec 11, 2025","We conquered storage but failed at digestion. Humanity suffers from the ""Indigestion of Alexandria."" We are trapped in performative productivity — saving contents we don't read and consuming content to feel productive, yet retaining almost nothing.

minus is a subtractive intelligence engine powered by Gemini 3 Pro. It shifts the focus from the Attention Economy to the Intention Economy, filtering the chaos to reveal the signal.

It transforms ""Digital Hoarding"" into ""Osmotic Learning"" through three core capabilities:

The Compass (Reasoning): It transforms specific user needs into targeted micro-learning cycles. A Socratic agent identifies the user's friction point (e.g., ""I need to resolve a team conflict"") and generates a custom loop to help them incorporate that skill immediately.

The Architect (Long Context): It ingests robust corpora (entire books, transcripts) and transmutes them into a step-by-step journey. It breaks down the full depth of the content into a paced path, integrating the whole document one dose at a time.

The Lens (Creativity): Raw data is dry; stories are sticky. Users select a narrative lens to rewrite content playfully — choose The Best Friend for empathy or The Comedian for wit. This generates a Multimodal Tasting Menu: a custom podcast for listening on the go and an AI infographic for visual reinforcement.

minus slows down the feed to reveal the meaning. Stop hoarding. Start savoring.",Gemini,"into, content, minus, economy, reveal, transforms, hoarding, learning, user, generates",,,,False,False,False,1438.0,https://www.kaggle.com/competitions/gemini-3/writeups/project-minus
16,CLARA: AI's Life-Saving Intervention,CLARA is a multimodal AI safety net that safeguards clinical logic to detect diagnostic shadowing before it harms patient care.,,Overall Track,"Hackathon Writeup · Dec 10, 2025","The Problem: Cognitive Load & System Strain

Diagnostic error affects 12 million Americans annually [1]. In women's health, this crisis is acute: women are diagnosed on average 4 years later than men [2]. This gap highlights the role of cognitive phenomena such as Diagnostic Shadowing [3], a bias where physical symptoms are misattributed to psychiatric history.

However, this is rarely negligence. It is a failure of Dual Process Theory under pressure. High cognitive load forces physicians to rely on System 1 (fast/heuristic thinking), bypassing System 2 (slow/analytical thinking). Harmless shortcuts then mutate into dangerous biases [4].

The Solution: A Cognitive Forcing Strategy

We introduce CLARA: Clinical Logic Assessment & Reasoning Auditor, a multimodal AI agent powered by Gemini 3 Pro. CLARA acts as a Cognitive Forcing Strategy - an ""External System 2"" that supports physicians when their own cognitive bandwidth is exhausted.

Unlike a scribe recording what is said, CLARA audits the logic of the encounter. Designed as a safety net, she runs in the background to flag high-risk logic patterns for review prior to discharge.

Methodology & Impact

Engineered with the Google AI Studio, CLARA processes consented consultation audio to generate standardized ""Audit Flags"" (JSON). This transforms the subjective experience of ""being dismissed"" into objective data, protecting patients from gender-based bias while shielding doctors from the inevitability of human fatigue.

References",Gemini,"cognitive, system, clara, logic, load, diagnostic, women, bias, high, physicians",,,https://youtu.be/9_MX2lxChic,False,False,True,1502.0,https://www.kaggle.com/competitions/gemini-3/writeups/clara-ai
17,KITABU AI,An AI Tutor Specific to Kenyan Students,,Overall Track,"Hackathon Writeup · Dec 12, 2025","An AI Tutor for Kenyan students that factors in the Kenyan CBC Education Syllabus.

General LLMs dont have the specific contenxt of the Kenyan syllabus. We fixed that by using the approved curriculum designs to create an intuitive well designed app for kenyan learners.

Teachers are able to Set Daily/Weekend assignments for their learners without adding to their workload. AI handles the grading and assessment and gives the teachers analytics on how best to support each individual learner during school hours. Our AI Tutor does not replace the teacher, but rather gives them super-powers to help their learners much better.

Every student, especially in the developing countries where teacher-student ratio is still poor, deserves an AI Tutor. We have made it our mission to serve the Kenyan market. Thanks to Gemini for making this possible.",Gemini,"kenyan, tutor, learners, their, syllabus, teachers, gives, teacher, student, students",,,,False,False,False,846.0,https://www.kaggle.com/competitions/gemini-3/writeups/kitabu-ai
18,ChessOdyssey: The Neuro-Symbolic Grandmaster Engine,ChessOdyssey is a neuro-symbolic engine combining Gemini 3 Pro’s reasoning with game theory to democratize Grandmaster wisdom,,Overall Track,"Hackathon Writeup · Dec 5, 2025","Chess is often an elitist game, accessible mainly through costly coaching. Engines like Stockfish deliver flawless calculations but no guidance--reducing positions to cold numbers (eg ""+1.5"") without teaching the why or How behind them.

Modern foundation models, by contrast, have incredible multimodal capabilities and can explain concepts, in chess they frequently hallucinate, even producing illegal moves or blundering at amateur level Source-1, a shortcoming also confirmed by Demis Hassabis in recent Game Arena evaluations : ""perform… not very well atm"" Source-2 and ""…Note that none of these AI models are good at chess yet…"" Source-3

ChessOdyssey reinvents this paradigm as a Cognitive Gym, a Neuro-Symbolic Cognitive Engine fusing Gemini 3 Pro’s visual reasoning with algorithmic game theory to democratize Grandmaster-level intuition and mastery for all, from children to aspiring pros.

Pure LLMs struggle with chess calculation (often hallucinating illegal moves), while pure engines lack semantic reasoning and multimodal capabilities. ChessOdyssey fuses them:

1. The Neuro Layer (Gemini 3 Pro): Acts as the Visionary Mentor. It uses Multimodal Vision to ""see"" the board, identify structures, and explain concepts via Socratic dialogue (""Caissa’s Shadow""). Integrating Google Search (""Historical Echo""), it grounds advice in history, while linking the player’s current position to iconic games, reminding them that the challenges they face are the very ones that shaped the legends.

2. The Symbolic Layer (""Mini-Stockfish""): Acts as the Truth Filter. A TypeScript engine powered by chess.js: validates legality, calculates tactics, enforces FIDE rules, and prevents hallucinations. Additionally, it powers an AI opponent that instantly calculates and executes the optimal counter-move in response to the user's play, ensuring a realistic and challenging simulation.

Multimodal Vision Board that extracts FEN (board state) from uploaded chessboard images and overlays live ""ghost pi","TypeScript, Gemini","chess, board, chessodyssey, vision, game, them, multimodal, source, here, coaching",https://github.com/Abirate/ChessOdyssey,,https://youtu.be/gEYGrUhF0Lw,False,True,True,3691.0,https://www.kaggle.com/competitions/gemini-3/writeups/chessodyssey-the-neurosymbolic-grandmaster-engine
19,HealthHub AI: Multimodal Personal Health Assistant Powered by Gemini 3 Pro,"An AI-powered health hub that analyzes your medical documents, medications, and profile to generate personalized insights and safer decision",,Overall Track,"Hackathon Writeup · Dec 7, 2025","⭐ HealthHub AI – Multimodal Personal Medical Insight Assistant
Hackathon Submission | Google DeepMind x Kaggle

This writeup presents an intelligent health assistant built using Gemini 3 Pro, designed to help users interpret, organize, and understand their medical information.
With a single photo or text prompt, the system can generate:

✔ Structured analysis of prescriptions
✔ Interpretation of lab results
✔ Alerts for allergies and related risks
✔ Medication interaction warnings
✔ Personalized health summaries

This project demonstrates the core hackathon objective:
👉 “Transform natural language prompts and images into working AI-driven applications using Gemini 3 Pro.”

Every day, patients receive medical documents they cannot interpret: prescriptions with unclear handwriting, lab results with unexplained ranges, or treatment instructions they don’t fully understand. This confusion leads to:

Misuse of medications

Undetected interactions

Poor understanding of personal health

Missed warning signs

HealthHub AI was built to address this real-world challenge by enabling users to instantly decode their medical information through a multimodal AI agent.

The assistant functions as a health interpretation companion:

Users upload a prescription, lab result, or clinical note

Gemini 3 Pro extracts structured medical data

The system highlights risks based on allergies or chronic conditions

It explains values, terms, and instructions in simple language

A full health summary is generated on request

This interface is built in Google AI Studio, combining multimodal reasoning (image + text) with long-context understanding.

Inside Google AI Studio:

The agent was configured to read medical documents using multimodal vision.

Prompt engineering ensured outputs remained:

Structured

Easy to understand

Safe and non-diagnostic

Context from the user’s profile (allergies, conditions, medications) was added to personalize analysis.

Input (image): A handwritten prescriptio",Gemini,"health, medical, multimodal, gemini, users, understand, healthhub, assistant, google, built",,,https://youtu.be/xe2CpY4YJrQ,False,False,True,2734.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764963120384
20,ArborZen AI – Multimodal Tree Intelligence System,ArborZen AI is a multimodal environmental interpretation system that analyzes a tree or plant using only user-uploaded images and real-time,,Overall Track,"Hackathon Writeup · Dec 6, 2025","Tree and plant health evaluation usually requires expert knowledge.  
Most people cannot detect:

Urban conditions such as heat, low oxygen, pollution, and compacted soil worsen the problem.

Millions of plants die unnecessarily due to late diagnosis, improper watering habits, and lack of accessible guidance.

ArborZen AI solves this by turning a single image into a complete ecological diagnosis — with no sensors or hardware required.

ArborZen AI is a holistic ecological intelligence engine that combines:

The system transforms simple images into a full environmental + biological profile.

All features are grouped into 6 categories:

A single uploaded image produces:

Example output:

""Ficus benghalensis — Approx. 45–55 years, Mature Stage, Oxygen-Positive Species, Health Score: 88.""

ArborZen converts biological & environmental signals into human-readable expressions.

Example:

""My leaves carry a thin layer of dust today. The wind is strong, but my branches hold firm.""

The tone is grounded in real metrics.

Canopy is divided into three zones:

Each zone displays a numeric severity (0–100%).

Soil inference includes:

All without sensors.

Forecasts:

These feed into…

Automatically generated tasks:

Plan updates with each new scan.

ArborZen suggests plant-care products based on diagnostics:

Examples:

Each recommendation includes purpose, usage frequency, and expected outcome.

Model estimates:

Suggested high-oxygen companion plants: Areca Palm, Snake Plant, Peepal, Bamboo Palm, Money Plant, Neem.

User can input:

ArborZen recommends cleaner locations nearby or globally.

Example suggestions:

Includes: temperature, AQI, and environmental-health rating.

ArborZen AI can serve:

It democratizes ecological intelligence — enabling expert-level plant care without hardware or high cost.",,"arborzen, into, plant, health, oxygen, ecological, environmental, example, each, includes",https://github.com/2KRISHNAYADAV/arborzen.ai,,,False,True,False,1820.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764963320149
